Tinh,TenTinh,Mon,n_years,mean_first,mean_last,change,volatility_std,max_yoy_abs_change,latest_count
3,Cao Bằng,NgoaiNgu,5,6.5122,5.4603,-1.0519,0.3874,0.7361,12835
14,Quảng Ninh,NguVan,5,6.1225,5.7915,-0.331,0.2999,0.7307,12560
8,Lai Châu,HoaHoc,5,6.5944,5.58,-1.0144,0.5182,0.7283,1167
36,Phú Yên,NgoaiNgu,5,5.3075,5.2715,-0.036,0.323,0.728,988
43,Đắk Nông,NgoaiNgu,5,5.5949,5.018,-0.5769,0.2758,0.7269,3710
54,Trà Vinh,NgoaiNgu,5,5.3188,4.8909,-0.4279,0.266,0.7265,3319
37,Khánh Hòa,NgoaiNgu,5,6.0334,4.9485,-1.0849,0.4102,0.7231,7324
56,Đồng Tháp,NgoaiNgu,5,5.6566,4.9864,-0.6702,0.2883,0.7221,2954
12,Thái Nguyên,HoaHoc,5,6.8118,6.0892,-0.7226,0.354,0.7198,3233
12,Thái Nguyên,NguVan,5,6.1979,6.7757,0.5778,0.3727,0.7171,18426
38,Ninh Thuận,HoaHoc,5,6.6083,5.8751,-0.7332,0.3737,0.717,3735
55,Vĩnh Long,HoaHoc,5,6.8767,6.1082,-0.7685,0.3375,0.7066,3518
17,Vĩnh Phúc,NguVan,5,6.2986,7.1097,0.8111,0.4528,0.7034,19434
11,Hòa Bình,NgoaiNgu,4,4.9082,4.2626,-0.6456,0.3223,0.7029,2516
4,Bắc Kạn,NgoaiNgu,5,6.4474,5.4073,-1.0401,0.3969,0.6987,7201
6,Lào Cai,NgoaiNgu,5,4.5147,5.0818,0.5671,0.3499,0.6973,798
35,Bình Định,HoaHoc,5,6.7536,6.1481,-0.6055,0.3222,0.6963,3490
45,Bình Phước,NgoaiNgu,5,5.3084,4.9015,-0.4069,0.2464,0.6934,1617
61,Sóc Trăng,NgoaiNgu,5,5.1651,4.8614,-0.3037,0.2444,0.6895,2194
24,Nam Định,HoaHoc,5,7.029,6.3662,-0.6628,0.3018,0.6887,2500
10,Yên Bái,NguVan,5,6.2256,6.3093,0.0837,0.3305,0.6867,9556
40,Kon Tum,HoaHoc,5,6.5493,5.7451,-0.8042,0.3176,0.6867,4713
38,Ninh Thuận,NgoaiNgu,5,5.2586,5.1283,-0.1303,0.2736,0.6863,3237
40,Kon Tum,NgoaiNgu,5,5.094,5.0791,-0.0149,0.2979,0.6831,5164
7,Điện Biên,NgoaiNgu,4,4.9467,4.2492,-0.6975,0.3304,0.6793,3758
39,Bình Thuận,HoaHoc,5,6.5742,5.9415,-0.6327,0.3206,0.679,2441
58,Kiên Giang,NgoaiNgu,5,4.8649,4.8425,-0.0224,0.2982,0.6789,1530
22,Thái Bình,NgoaiNgu,5,5.6569,5.1797,-0.4772,0.2481,0.6773,4608
37,Khánh Hòa,HoaHoc,5,6.807,6.1649,-0.6421,0.3384,0.6771,4069
27,Nghệ An,HoaHoc,5,7.006,6.5014,-0.5046,0.3154,0.6699,2892
15,Bắc Giang,HoaHoc,5,7.0369,6.3839,-0.653,0.2991,0.6685,2813
51,Long An,NguVan,5,7.0648,7.1923,0.1275,0.3505,0.6681,20677
48,Đồng Nai,HoaHoc,5,6.6026,5.7833,-0.8193,0.3358,0.666,7725
15,Bắc Giang,NguVan,5,6.3947,7.2089,0.8142,0.5368,0.662,18458
53,Bến Tre,NguVan,5,6.971,7.0227,0.0517,0.3415,0.6604,16524
63,Cà Mau,NgoaiNgu,5,4.7693,4.9177,0.1484,0.3278,0.6449,1409
55,Vĩnh Long,NgoaiNgu,5,5.8239,5.3745,-0.4494,0.234,0.6442,3530
21,Hưng Yên,NguVan,5,6.614,7.1273,0.5133,0.4626,0.6441,26387
17,Vĩnh Phúc,NgoaiNgu,5,5.8755,5.5863,-0.2892,0.2461,0.6418,6138
1,Hà Nội,NgoaiNgu,5,6.4637,5.8173,-0.6464,0.2772,0.632,60962
28,Hà Tĩnh,NgoaiNgu,5,5.1408,5.3168,0.176,0.3054,0.6287,9522
39,Bình Thuận,NgoaiNgu,5,5.2657,5.0112,-0.2545,0.2233,0.6275,3177
54,Trà Vinh,NguVan,5,6.3236,6.9597,0.6361,0.4787,0.6261,15205
32,Đà Nẵng,NgoaiNgu,5,5.1439,5.259,0.1151,0.3054,0.6224,2210
34,Quảng Ngãi,HoaHoc,5,6.6363,6.0962,-0.5401,0.3275,0.619,4355
16,Phú Thọ,NgoaiNgu,5,6.2729,5.5608,-0.7121,0.2987,0.618,5633
2,Hà Giang,VatLy,5,6.283,6.9573,0.6743,0.2766,0.6169,42434
19,Hải Dương,HoaHoc,5,6.8322,6.5599,-0.2723,0.2758,0.6128,4767
44,Lâm Đồng,NguVan,5,6.8033,6.8543,0.051,0.2718,0.6073,16701
59,Cần Thơ,NgoaiNgu,5,5.0536,4.7613,-0.2923,0.2171,0.6053,2137
49,Bà Rịa - Vũng Tàu,NguVan,5,6.6528,6.7999,0.1471,0.3013,0.6032,15707
16,Phú Thọ,NguVan,5,6.8339,7.774,0.9401,0.4362,0.6028,16202
8,Lai Châu,NgoaiNgu,5,5.2363,5.3844,0.1481,0.2949,0.6024,1665
34,Quảng Ngãi,NgoaiNgu,5,5.3228,5.0849,-0.2379,0.2134,0.5988,4563
50,TP. Hồ Chí Minh,NgoaiNgu,5,5.5825,5.0474,-0.5351,0.2336,0.5965,3521
30,Quảng Trị,HoaHoc,5,6.919,6.737,-0.182,0.2401,0.5931,3150
2,Hà Giang,HoaHoc,5,6.5341,5.9046,-0.6295,0.3117,0.5897,27166
57,An Giang,NguVan,5,5.9928,5.9801,-0.0127,0.2791,0.5894,11462
49,Bà Rịa - Vũng Tàu,NgoaiNgu,5,5.7786,4.9042,-0.8744,0.3231,0.5887,5212
46,Tây Ninh,NgoaiNgu,5,5.5144,5.0574,-0.457,0.2178,0.5846,2838
52,Tiền Giang,HoaHoc,5,6.4006,5.7719,-0.6287,0.2564,0.5834,3353
39,Bình Thuận,NguVan,5,5.6671,6.4893,0.8222,0.4638,0.5827,10547
13,Lạng Sơn,NgoaiNgu,5,5.5139,5.1642,-0.3497,0.2479,0.5643,1845
1,Hà Nội,NguVan,5,6.7881,7.6258,0.8377,0.4905,0.5638,120258
19,Hải Dương,NgoaiNgu,5,5.9905,5.432,-0.5585,0.2875,0.5613,5957
18,Bắc Ninh,HoaHoc,5,6.7087,6.2366,-0.4721,0.2683,0.5536,4383
64,,NguVan,5,6.2763,7.3336,1.0573,0.5029,0.5505,7215
12,Thái Nguyên,NgoaiNgu,5,5.2666,5.2363,-0.0303,0.2249,0.5478,4113
16,Phú Thọ,HoaHoc,5,6.9097,6.7074,-0.2023,0.2204,0.5453,3150
48,Đồng Nai,NguVan,5,5.9062,6.4406,0.5344,0.3566,0.541,36360
64,,NgoaiNgu,5,4.5907,4.8332,0.2425,0.2848,0.5311,1106
50,TP. Hồ Chí Minh,NguVan,5,6.7968,6.7939,-0.0029,0.261,0.5297,17241
28,Hà Tĩnh,NguVan,5,7.0529,7.6089,0.556,0.384,0.4966,40250
6,Lào Cai,HoaHoc,4,6.4685,6.4028,-0.0657,0.2706,0.4939,653
