Nam,Vung,Mon,count,mean,pct_ge_8,province_count,min_province_mean,max_province_mean
2024,Đông Nam Bộ,SinhHoc,35351,6.2518,8.2538,6,6.046,6.4306
2024,Đông Nam Bộ,Toan,94674,6.3683,13.6029,6,5.9893,6.5851
2024,Đông Nam Bộ,VatLy,35603,6.4315,19.5203,6,6.2501,6.6856
2024,Đồng bằng sông Cửu Long,HoaHoc,53875,6.6024,22.9275,13,6.0324,6.8927
2024,Đồng bằng sông Cửu Long,NgoaiNgu,136153,5.1827,8.7609,13,4.1318,6.2226
2024,Đồng bằng sông Cửu Long,NguVan,150118,7.2304,33.6639,13,6.4367,8.0939
2024,Đồng bằng sông Cửu Long,SinhHoc,53297,6.4756,11.9855,13,5.9681,7.0117
2024,Đồng bằng sông Cửu Long,Toan,148761,6.328,13.5491,13,5.2789,6.8888
2024,Đồng bằng sông Cửu Long,VatLy,53466,6.4446,20.0313,13,5.9895,6.7741
2024,Đồng bằng sông Hồng,HoaHoc,71973,6.655,30.4044,10,6.2195,7.2845
2024,Đồng bằng sông Hồng,NgoaiNgu,213001,5.7599,19.5114,10,4.3848,6.2048
2024,Đồng bằng sông Hồng,NguVan,256029,7.5982,49.5355,10,6.5222,8.0456
2024,Đồng bằng sông Hồng,SinhHoc,71111,6.161,9.049,10,5.7751,6.7581
2024,Đồng bằng sông Hồng,Toan,255262,6.589,24.4095,10,5.2406,7.2621
2024,Đồng bằng sông Hồng,VatLy,71986,6.9559,35.8204,10,6.6415,7.4599
2025,Bắc Trung Bộ và Duyên hải miền Trung,HoaHoc,55026,6.1924,21.7147,14,5.8751,6.737
2025,Bắc Trung Bộ và Duyên hải miền Trung,NgoaiNgu,64756,5.2265,4.2828,14,4.9485,5.4303
2025,Bắc Trung Bộ và Duyên hải miền Trung,NguVan,249109,7.2168,35.2913,14,6.1589,8.0351
2025,Bắc Trung Bộ và Duyên hải miền Trung,SinhHoc,14480,5.6825,11.6114,14,5.1409,6.4905
2025,Bắc Trung Bộ và Duyên hải miền Trung,Toan,248830,4.7383,5.9106,14,4.3258,5.1717
2025,Bắc Trung Bộ và Duyên hải miền Trung,VatLy,72728,7.0414,33.3737,14,6.7574,7.3783
2025,Trung du và miền núi phía Bắc,HoaHoc,51501,6.0508,19.721,14,5.0911,6.7074
2025,Trung du và miền núi phía Bắc,NgoaiNgu,92934,5.5596,7.0656,14,4.9707,5.7041
2025,Trung du và miền núi phía Bắc,NguVan,248704,6.9083,22.9763,14,5.5976,7.774
2025,Trung du và miền núi phía Bắc,SinhHoc,17436,5.8088,12.0155,14,4.2537,6.6082
2025,Trung du và miền núi phía Bắc,Toan,248723,4.8769,5.8365,14,3.4489,5.4503
2025,Trung du và miền núi phía Bắc,VatLy,78985,7.0124,31.1081,14,6.2527,7.5046
2025,Tây Nguyên,HoaHoc,20092,5.9462,16.7703,5,5.7451,6.2945
2025,Tây Nguyên,NgoaiNgu,25928,5.268,4.0979,5,5.018,5.7229
2025,Tây Nguyên,NguVan,81517,6.5908,12.3128,5,6.1801,6.8746
2025,Tây Nguyên,SinhHoc,4767,5.9525,12.2719,5,5.5869,6.6614
2025,Tây Nguyên,Toan,81546,4.7314,4.3086,5,4.295,5.4021
2025,Tây Nguyên,VatLy,30076,6.9612,29.5582,5,6.7093,7.3303
2025,Đông Nam Bộ,HoaHoc,23664,5.7054,12.4388,6,5.606,5.8061
2025,Đông Nam Bộ,NgoaiNgu,29986,5.085,2.8646,6,4.9015,5.2449
2025,Đông Nam Bộ,NguVan,99679,6.6123,12.6922,6,6.2219,6.8471
2025,Đông Nam Bộ,SinhHoc,6533,5.6681,7.0726,6,5.46,5.811
2025,Đông Nam Bộ,Toan,99648,4.5531,2.3745,6,4.2525,4.7254
2025,Đông Nam Bộ,VatLy,33267,6.719,22.3039,6,6.5791,6.8967
2025,Đồng bằng sông Cửu Long,HoaHoc,36672,5.754,13.7936,13,5.2363,6.1082
2025,Đồng bằng sông Cửu Long,NgoaiNgu,38679,5.0677,3.2264,13,4.7613,5.5539
2025,Đồng bằng sông Cửu Long,NguVan,157162,6.9545,21.8891,13,5.9801,7.3566
2025,Đồng bằng sông Cửu Long,SinhHoc,14912,5.7129,7.2957,13,5.0219,6.2627
2025,Đồng bằng sông Cửu Long,Toan,157027,4.4725,2.4121,13,3.8125,5.1104
2025,Đồng bằng sông Cửu Long,VatLy,48307,6.7142,22.8386,13,6.3424,6.9316
2025,Đồng bằng sông Hồng,HoaHoc,51510,6.3927,24.5866,10,5.6862,6.5599
2025,Đồng bằng sông Hồng,NgoaiNgu,104332,5.6372,8.732,10,5.1797,5.8173
2025,Đồng bằng sông Hồng,NguVan,283333,7.1693,33.9497,10,5.7915,7.6258
2025,Đồng bằng sông Hồng,SinhHoc,10963,5.9539,14.7117,10,4.7828,6.7012
2025,Đồng bằng sông Hồng,Toan,283190,5.0246,7.9215,10,3.629,5.6418
2025,Đồng bằng sông Hồng,VatLy,82497,7.1947,36.9907,10,6.6496,7.4057
